team,player_id,player_name,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,H,2B,3B,HR,SAC,SF,BB,IBB,SO,WP,BK,R,ER,BSV,WHIP,AVG,QS
NC,55912,로건,4.53,32,0,0,7,12,0,0,0.368,770,3037,173,180,30,2,18,3,5,67,3,149,6,0,98,87,0,1.43,0.263,16
NC,68902,신민혁,4.77,28,1,0,6,3,0,0,0.667,568,2292,132,148,18,2,23,4,5,26,1,84,3,0,76,70,0,1.32,0.281,5
NC,63959,임정호,4.82,31,0,0,1,1,0,4,0.500,88,336,18 2/3,18,3,1,3,3,1,9,1,15,1,0,13,10,2,1.45,0.254,0
NC,67962,소이현,5.63,7,0,0,0,0,0,0,-,36,140,8,5,1,0,0,1,1,7,0,3,2,0,5,5,0,1.50,0.192,0
NC,53973,목지훈,6.05,16,0,0,3,5,0,0,0.375,280,1115,58,68,8,3,6,2,3,42,1,45,9,2,42,39,0,1.90,0.298,1
NC,64580,김재열,6.23,22,0,0,0,0,0,2,-,111,402,21 2/3,32,6,1,5,2,2,16,1,16,2,0,16,15,0,2.22,0.356,0
NC,66920,최성영,6.23,35,0,0,2,2,0,4,0.500,228,921,47 2/3,62,13,2,6,4,5,28,1,33,2,1,33,33,0,1.89,0.330,0
NC,52995,김녹원,6.56,21,0,0,3,4,0,1,0.429,327,1290,70,75,13,1,10,5,1,47,0,37,4,0,53,51,0,1.74,0.277,0
NC,68639,하준영,6.75,10,0,0,1,1,0,1,0.500,33,126,5 1/3,10,4,0,0,0,0,7,1,5,0,0,4,4,0,3.19,0.385,0
NC,52903,조민석,6.92,6,0,0,0,1,0,0,0.000,61,258,13,12,2,0,3,0,0,11,0,4,2,0,10,10,0,1.77,0.250,0
NC,52992,이준혁,7.30,25,0,0,1,3,0,0,0.250,170,699,37,43,7,1,8,2,1,20,2,30,4,0,33,30,0,1.70,0.305,0
NC,53919,신영우,7.53,8,0,0,1,3,0,0,0.250,68,307,14 1/3,8,2,0,2,1,2,16,0,19,4,0,13,12,0,1.67,0.174,0
NC,54913,김민규,7.71,7,0,0,0,0,0,1,-,23,96,4 2/3,5,2,0,0,0,1,4,1,2,0,0,4,4,0,1.93,0.278,0
NC,54903,최우석,8.16,12,0,0,0,0,0,0,-,75,282,14 1/3,23,5,0,1,1,1,9,0,15,5,0,16,13,0,2.23,0.359,0
NC,66965,도태훈,9.00,1,0,0,0,0,0,0,-,6,16,1,3,0,0,1,0,0,0,0,1,0,0,1,1,0,3.00,0.500,0
NC,77211,이용찬,10.57,12,0,0,1,2,0,1,0.333,83,334,15 1/3,23,4,0,1,0,1,12,1,14,2,0,18,18,1,2.28,0.348,0
NC,50992,김태경,10.64,6,0,0,0,0,0,1,-,62,266,11,18,3,0,4,2,0,9,1,10,1,0,20,13,0,2.45,0.367,0
NC,67956,김태현,12.00,5,0,0,0,0,0,1,-,17,69,3,5,1,0,2,0,0,3,0,2,1,0,4,4,0,2.67,0.417,0
NC,54900,임상현,18.00,1,0,0,0,0,0,0,-,8,34,1,2,1,0,0,0,0,3,0,0,0,0,2,2,0,5.00,0.400,0
OB,55221,김한중,0.00,2,0,0,0,0,0,0,-,8,25,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.50,0.125,0
OB,69205,이교훈,1.17,10,0,0,1,0,0,0,1.000,29,125,7 2/3,4,1,0,0,1,0,4,0,7,2,0,2,1,0,1.04,0.174,0
OB,55239,잭로그,2.81,30,0,0,10,8,0,1,0.556,722,2698,176,146,25,4,8,11,2,39,0,156,4,0,66,55,0,1.05,0.224,17
OB,68249,박신지,2.85,54,0,0,2,4,0,5,0.333,264,1008,60,55,15,3,3,2,3,29,6,36,8,0,24,19,1,1.40,0.244,0
OB,54263,김택연,3.53,64,0,0,4,5,24,0,0.444,281,1151,66 1/3,47,6,0,6,4,1,31,2,79,5,0,31,26,9,1.18,0.196,0
OB,67266,박치국,3.75,73,0,0,4,4,2,16,0.500,271,1045,62 1/3,58,15,0,4,5,1,21,1,57,0,0,35,26,4,1.27,0.245,0
OB,68830,김정우,3.86,18,0,0,0,0,1,1,-,103,396,21,26,4,0,1,3,2,9,0,13,1,0,12,9,0,1.67,0.302,0
OB,66291,이영하,4.05,73,0,0,4,4,0,14,0.500,299,1136,66 2/3,63,10,0,4,5,1,39,2,72,7,0,33,30,5,1.53,0.254,0
OB,65639,박정수,4.10,29,0,0,1,0,0,3,1.000,119,418,26 1/3,31,3,1,1,3,2,8,1,15,1,0,13,12,0,1.48,0.304,0
