team,player_id,player_name,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,E,SB%,MH,OPS,RISP,PH-BA,SBA,power,contact,batting_eye,speed,style
WO,54344,고영우,0.217,14,26,23,4,5,1,0,0,6,2,0,0,1,0,2,0,0,6,2,0.261,0.28,2,0.0,1,0.541,0.3,0.0,0,0.5,0.535,0.542,0.5,4
WO,52366,푸이그,0.212,40,172,156,17,33,2,0,6,53,20,0,0,0,0,12,0,4,38,1,0.34,0.285,2,0.0,9,0.625,0.256,0.0,0,0.56,0.606,0.59,0.5,4
WO,55339,염승원,0.211,11,21,19,2,4,0,0,0,4,1,0,0,0,1,1,0,0,6,0,0.211,0.238,0,0.0,0,0.449,0.0,0.0,0,0.5,0.526,0.529,0.5,4
WO,62332,김재현,0.208,62,128,120,12,25,5,0,0,30,5,1,0,4,0,1,0,3,31,1,0.25,0.234,4,100.0,5,0.484,0.132,0.0,1,0.5,0.657,0.573,0.508,4
WO,78135,이형종,0.2,33,82,70,4,14,3,0,2,23,6,1,0,2,0,9,0,1,22,3,0.329,0.3,0,100.0,1,0.629,0.2,0.222,1,0.52,0.583,0.585,0.508,4
WO,62925,강진성,0.182,6,13,11,1,2,0,0,0,2,1,0,0,0,0,2,0,0,1,2,0.182,0.308,0,0.0,1,0.49,0.2,0.0,0,0.5,0.515,0.536,0.5,4
WO,54394,송지후,0.175,33,86,80,5,14,3,0,1,20,8,0,1,0,1,3,0,2,18,3,0.25,0.221,2,0.0,3,0.471,0.154,0.0,1,0.51,0.58,0.554,0.508,4
WO,54307,원성준,0.174,24,53,46,5,8,1,0,2,15,4,0,0,0,0,7,0,0,18,1,0.326,0.283,0,0.0,3,0.609,0.333,0.2,0,0.52,0.555,0.561,0.5,4
WO,52305,박수종,0.143,38,45,42,6,6,0,0,1,9,2,1,0,0,0,3,0,0,12,0,0.214,0.2,1,100.0,2,0.414,0.083,0.0,1,0.51,0.585,0.555,0.508,4
WO,75566,이원석,0.143,5,8,7,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0.143,0.25,0,0.0,0,0.393,0.0,0.0,0,0.5,0.511,0.526,0.5,4
